Firma,Website,Signal Listings,Signal Instagram,Signal Jobs,Anruf-Priorität,Warum jetzt anrufen
Pisa Immobilienmanagement GmbH & Co. KG,https://pisa-immobilien.de/,"12 Objekte; keine Vorhistorie; Daten: 01.08.2026, 01.07.2026, 2026-06-05, 28. Mai 2026, 01.09.2025","https://www.instagram.com/pisa.immobilien; manuell prüfen","keine Marketing-Vakanz gefunden; Indeed: https://de.indeed.com/jobs?q=Pisa+Immobilienmanagement+GmbH+%26+Co.+KG+marketing",P3,"Pisa Immobilienmanagement GmbH & Co. KG hat aktuell 12 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
Wöber Immobilien GmbH,https://woeber.immo/,unbekannt,unbekannt,"unbekannt; Indeed: https://de.indeed.com/jobs?q=W%C3%B6ber+Immobilien+GmbH+marketing",P3,"Keine harten Jetzt-Signale gefunden; nur manuell prüfen, wenn die Firma strategisch relevant ist."
SAXOWERT Immobilien GmbH & Co. KG,https://saxowert.de/,"1 Objekt; keine Vorhistorie","https://www.instagram.com/saxowert_immobilien; manuell prüfen","keine Marketing-Vakanz gefunden; Indeed: https://de.indeed.com/jobs?q=SAXOWERT+Immobilien+GmbH+%26+Co.+KG+marketing",P3,"SAXOWERT Immobilien GmbH & Co. KG hat aktuell 1 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
accept-immobilien GmbH,https://accept-immobilien.de/,"4 Objekte; keine Vorhistorie; Daten: 01.08.2026, heute, 23. März 2026, 12. November 2025, 1. Oktober 2025","https://www.instagram.com/acceptimmobilien; manuell prüfen","Marketing-Vakanz gefunden (Social Media); Indeed: https://de.indeed.com/jobs?q=accept-immobilien+GmbH+marketing",P2,"accept-immobilien GmbH sucht Marketing-Unterstützung, daher ist der Bedarf bereits intern sichtbar und ein Partner-Call anschlussfähig."
Willuhn Immobilien e.K.,https://willuhn-immobilien.de/,"850 Objekte; keine Vorhistorie; Neu-Markierung; Daten: 27. Mai 2026","https://www.instagram.com/willuhn.immobilien; manuell prüfen","keine Marketing-Vakanz gefunden; Indeed: https://de.indeed.com/jobs?q=Willuhn+Immobilien+e.K.+marketing",P3,"Willuhn Immobilien e.K. hat aktuell 850 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
Koengeter Immobilien,https://koengeter-immobilien.de/,"15 Objekte; keine Vorhistorie; Neu-Markierung; Daten: 01.07.2026, 2026-02-23, 2026-01-29, 28. Januar 2026, 2025-12-02","https://www.instagram.com/koengeterimmobilien; manuell prüfen","Marketing-Vakanz gefunden (Kommunikation); Indeed: https://de.indeed.com/jobs?q=Koengeter+Immobilien+marketing",P2,"Koengeter Immobilien sucht Marketing-Unterstützung, daher ist der Bedarf bereits intern sichtbar und ein Partner-Call anschlussfähig."
RENNERT Immobilien,https://rennert-immobilien.de/,"0 Objekte; keine Vorhistorie","https://www.instagram.com/rennertimmobilien; manuell prüfen","Marketing-Vakanz gefunden (Kommunikation); Indeed: https://de.indeed.com/jobs?q=RENNERT+Immobilien+marketing",P2,"RENNERT Immobilien sucht Marketing-Unterstützung, daher ist der Bedarf bereits intern sichtbar und ein Partner-Call anschlussfähig."
Wohnsitz LE GmbH,https://wohnsitz-le.de/,"16 Objekte; keine Vorhistorie; Neu-Markierung; Daten: heute","https://www.instagram.com/wohnsitz.le.immobilien; manuell prüfen","unbekannt; Indeed: https://de.indeed.com/jobs?q=Wohnsitz+LE+GmbH+marketing",P3,"Wohnsitz LE GmbH hat aktuell 16 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
Neitemeier Real Estate,https://neitemeier-realestate.de/,"1 Objekt; keine Vorhistorie",unbekannt,"unbekannt; Indeed: https://de.indeed.com/jobs?q=Neitemeier+Real+Estate+marketing",P3,"Neitemeier Real Estate hat aktuell 1 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
von Lewinski Immobilien,https://von-lewinski.de/,"12 Objekte; keine Vorhistorie; Neu-Markierung; Daten: 01.08.2026",unbekannt,"keine Marketing-Vakanz gefunden; Indeed: https://de.indeed.com/jobs?q=von+Lewinski+Immobilien+marketing",P3,"von Lewinski Immobilien hat aktuell 12 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
Poschmann Immobilien OHG,https://poschmann-immobilien.com/,"11 Objekte; keine Vorhistorie; Neu-Markierung; Daten: 1. Juli 2026, 30. Juni 2026, 12. Juni 2026","https://www.instagram.com/poschmann.immobilien; manuell prüfen","keine Marketing-Vakanz gefunden; Indeed: https://de.indeed.com/jobs?q=Poschmann+Immobilien+OHG+marketing",P3,"Poschmann Immobilien OHG hat aktuell 11 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
LE APIS Immobilien,https://le-apis-exclusiv.de/,"6 Objekte; keine Vorhistorie; Neu-Markierung","https://www.instagram.com/le_apis_immobilien; manuell prüfen","keine Marketing-Vakanz gefunden; Indeed: https://de.indeed.com/jobs?q=LE+APIS+Immobilien+marketing",P3,"LE APIS Immobilien hat aktuell 6 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
Immo Aslani,https://immo-aslani.de/,"12 Objekte; keine Vorhistorie","https://www.instagram.com/immoaslani; manuell prüfen","unbekannt; Indeed: https://de.indeed.com/jobs?q=Immo+Aslani+marketing",P3,"Immo Aslani hat aktuell 12 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
Schicketanz & Lajosfalvi Immobilien GbR,https://schicketanz.de/,"4 Objekte; keine Vorhistorie; Neu-Markierung",unbekannt,"unbekannt; Indeed: https://de.indeed.com/jobs?q=Schicketanz+%26+Lajosfalvi+Immobilien+GbR+marketing",P3,"Schicketanz & Lajosfalvi Immobilien GbR hat aktuell 4 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
Specht Immobilien,https://immobilienspecht.de/,"0 Objekte; keine Vorhistorie; Daten: heute",unbekannt,"unbekannt; Indeed: https://de.indeed.com/jobs?q=Specht+Immobilien+marketing",P3,"Keine harten Jetzt-Signale gefunden; nur manuell prüfen, wenn die Firma strategisch relevant ist."
Sebastian Steinbach Immobilien,https://steinbach-immobilienservice.de/,"11 Objekte; keine Vorhistorie",unbekannt,"unbekannt; Indeed: https://de.indeed.com/jobs?q=Sebastian+Steinbach+Immobilien+marketing",P3,"Sebastian Steinbach Immobilien hat aktuell 11 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
FairMakler Immobilien Leipzig,https://fairmakler-immobilien-leipzig.de/,"1 Objekt; keine Vorhistorie; Neu-Markierung",unbekannt,"unbekannt; Indeed: https://de.indeed.com/jobs?q=FairMakler+Immobilien+Leipzig+marketing",P3,"FairMakler Immobilien Leipzig hat aktuell 1 Objekte online; ohne neue Listings bleibt der Call ein normaler Akquise-Touchpoint."
